
> bsc-backend@1.0.0 prestart
> npm run build


> bsc-backend@1.0.0 prebuild
> tslint -c tslint.json -p tsconfig.json --fix


> bsc-backend@1.0.0 build
> tsc


> bsc-backend@1.0.0 start
> node .


> bsc-backend@1.0.0 prestart
> npm run build


> bsc-backend@1.0.0 prebuild
> tslint -c tslint.json -p tsconfig.json --fix


> bsc-backend@1.0.0 build
> tsc


> bsc-backend@1.0.0 start
> node .

server listening at http://localhost:3002
POST /measurement/schuepbach 201 - - 23.459 ms
POST /measurement/schuepbach 201 - - 15.344 ms
POST /measurement/schuepbach 201 - - 15.464 ms
POST /measurement/schuepbach 201 - - 16.619 ms
POST /measurement/schuepbach 201 - - 13.378 ms
POST /measurement/schuepbach 201 - - 14.647 ms
POST /measurement/schuepbach 201 - - 14.211 ms
POST /measurement/schuepbach 201 - - 13.796 ms
POST /measurement/schuepbach 201 - - 13.909 ms
POST /measurement/schuepbach 201 - - 12.764 ms
POST /measurement/schuepbach 201 - - 16.011 ms
POST /measurement/schuepbach 201 - - 13.924 ms
POST /measurement/schuepbach 201 - - 13.997 ms
POST /measurement/schuepbach 201 - - 14.192 ms
POST /measurement/schuepbach 201 - - 14.123 ms
POST /measurement/schuepbach 201 - - 12.788 ms
POST /measurement/schuepbach 201 - - 13.057 ms
POST /measurement/schuepbach 201 - - 12.596 ms
POST /measurement/schuepbach 201 - - 14.808 ms
POST /measurement/schuepbach 201 - - 14.170 ms
POST /measurement/schuepbach 201 - - 13.428 ms
POST /measurement/schuepbach 201 - - 12.596 ms
POST /measurement/schuepbach 201 - - 13.005 ms
POST /measurement/schuepbach 201 - - 14.173 ms
POST /measurement/schuepbach 201 - - 13.771 ms
POST /measurement/schuepbach 201 - - 13.086 ms
POST /measurement/schuepbach 201 - - 15.019 ms
POST /measurement/schuepbach 201 - - 14.092 ms
POST /measurement/schuepbach 201 - - 20.004 ms
POST /measurement/schuepbach 201 - - 13.250 ms
POST /measurement/schuepbach 201 - - 12.035 ms
POST /measurement/schuepbach 201 - - 12.997 ms
POST /measurement/schuepbach 201 - - 12.880 ms
POST /measurement/schuepbach 201 - - 13.670 ms
POST /measurement/schuepbach 201 - - 16.057 ms
POST /measurement/schuepbach 201 - - 13.865 ms
POST /measurement/schuepbach 201 - - 13.582 ms
POST /measurement/schuepbach 201 - - 14.573 ms
POST /measurement/schuepbach 201 - - 16.778 ms
POST /measurement/schuepbach 201 - - 14.099 ms
POST /measurement/schuepbach 201 - - 13.219 ms
POST /measurement/schuepbach 201 - - 13.980 ms
POST /measurement/schuepbach 201 - - 13.676 ms
POST /measurement/schuepbach 201 - - 12.755 ms
POST /measurement/schuepbach 201 - - 13.044 ms
POST /measurement/schuepbach 201 - - 13.269 ms
POST /measurement/schuepbach 201 - - 17.481 ms
POST /measurement/schuepbach 201 - - 13.547 ms
POST /measurement/schuepbach 201 - - 12.882 ms
POST /measurement/schuepbach 201 - - 16.122 ms
POST /measurement/schuepbach 201 - - 12.718 ms
POST /measurement/schuepbach 201 - - 12.722 ms
POST /measurement/schuepbach 201 - - 13.193 ms
POST /measurement/schuepbach 201 - - 12.566 ms
